Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Senegal,SEN,2021,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,13422292517.1013
Senegal,SEN,2020,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,10714180420.7693
Senegal,SEN,2019,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,10270852724.3913
Senegal,SEN,2018,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,10005109792.2668
Senegal,SEN,2017,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,8421415119.12299
Senegal,SEN,2016,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,6983376456.12739
Senegal,SEN,2015,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,6966079179.51097
Senegal,SEN,2014,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,7910972219.8684
Senegal,SEN,2013,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,7908835401.68201
Senegal,SEN,2012,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,7495560101.33231
Senegal,SEN,2011,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,6978445815.05768
Senegal,SEN,2010,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,5562190611.57974
Senegal,SEN,2009,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,5635481740.67503
Senegal,SEN,2008,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,7382622632.55014
Senegal,SEN,2007,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,5683281170.95314
Senegal,SEN,2006,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,4277738099.94181
Senegal,SEN,2005,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,3992881192.85649
Senegal,SEN,2004,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,3484159850.97032
Senegal,SEN,2003,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,2913384201.94978
Senegal,SEN,2002,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,2284341626.29921
Senegal,SEN,2001,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,2014613117.40607
Senegal,SEN,2000,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,1942578856.64253
Senegal,SEN,1999,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,2002119184.14195
Senegal,SEN,1998,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,1887667853.55757
Senegal,SEN,1997,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,1702674574.12222
Senegal,SEN,1996,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,1810000197.84237
Senegal,SEN,1995,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,2032623859.66253
Senegal,SEN,1994,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,1679182484.03674
Senegal,SEN,1993,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,1830291279.71328
Senegal,SEN,1992,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,2018989626.74548
Senegal,SEN,1991,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,1912537350.74471
Senegal,SEN,1990,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,2053185078.39376
Senegal,SEN,1989,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,1738011208.14107
Senegal,SEN,1988,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,1697643188.88417
Senegal,SEN,1987,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,1664689301.0364
Senegal,SEN,1986,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,1541642791.8792
Senegal,SEN,1985,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,1296412231.45714
Senegal,SEN,1984,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,1327202547.5436
Senegal,SEN,1983,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,1433084946.89542
Senegal,SEN,1982,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,1346718135.65695
Senegal,SEN,1981,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,1630801277.66191
Senegal,SEN,1980,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,1336996376.41485
Senegal,SEN,1979,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,1196869274.31779
Senegal,SEN,1978,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,1042605318.36432
Senegal,SEN,1977,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,1039198655.64797
Senegal,SEN,1976,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,902822991.271543
Senegal,SEN,1975,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,865743497.962987
Senegal,SEN,1974,"Imports of goods, services and primary income (BoP, current US$)",BM.GSR.TOTL.CD,737709001.419038
Senegal,SEN,2021,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-3327280244.48756
Senegal,SEN,2020,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-2662353128.79443
Senegal,SEN,2019,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-1897946141.69292
Senegal,SEN,2018,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-2215256000.63837
Senegal,SEN,2017,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-1526269729.28333
Senegal,SEN,2016,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-795648215.297229
Senegal,SEN,2015,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-944941214.638183
Senegal,SEN,2014,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-1346796310.17917
Senegal,SEN,2013,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-1549868805.38507
Senegal,SEN,2012,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-1528004122.64376
Senegal,SEN,2011,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-1148183910.72128
Senegal,SEN,2010,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-589477328.798485
Senegal,SEN,2009,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-857209520.676946
Senegal,SEN,2008,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-1891367537.29904
Senegal,SEN,2007,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-1312527671.47249
Senegal,SEN,2006,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-861979157.493195
Senegal,SEN,2005,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-676120143.84852
Senegal,SEN,2004,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-511345633.138222
Senegal,SEN,2003,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-437532364.357349
Senegal,SEN,2002,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-318328945.687407
Senegal,SEN,2001,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-245679364.716496
Senegal,SEN,2000,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-333178459.905625
Senegal,SEN,1999,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-320280317.934251
Senegal,SEN,1998,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-247457175.812492
Senegal,SEN,1997,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-184820388.236313
Senegal,SEN,1996,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-200745796.369873
Senegal,SEN,1995,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-244462355.620302
Senegal,SEN,1994,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-187462391.464614
Senegal,SEN,1993,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-432966814.387959
Senegal,SEN,1992,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-401296903.412932
Senegal,SEN,1991,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-371738503.118578
Senegal,SEN,1990,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-363286052.313781
Senegal,SEN,1989,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-347921982.525752
Senegal,SEN,1988,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-404580702.203481
Senegal,SEN,1987,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-429754031.615838
Senegal,SEN,1986,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-368778004.328489
Senegal,SEN,1985,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-359566697.92007
Senegal,SEN,1984,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-272429760.935957
Senegal,SEN,1983,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-304382939.004576
Senegal,SEN,1982,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-265606631.897995
Senegal,SEN,1981,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-461521840.121813
Senegal,SEN,1980,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-386076162.645706
Senegal,SEN,1979,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-263697777.414753
Senegal,SEN,1978,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-235241951.815315
Senegal,SEN,1977,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-66983580.2462264
